time,pr_daily,pr
2000-01-17 04:00:00,433.61432,11.174598
2000-01-17 05:00:00,433.61432,13.111781
2000-01-17 06:00:00,433.61432,15.098902
2000-01-17 07:00:00,433.61432,16.149786
2000-01-17 08:00:00,433.61432,17.063179
2000-01-17 09:00:00,433.61432,17.88092
2000-01-17 10:00:00,433.61432,18.654104
2000-01-17 11:00:00,433.61432,19.444553
2000-01-17 12:00:00,433.61432,20.100584
2000-01-17 13:00:00,433.61432,20.579311
2000-01-17 14:00:00,433.61432,21.000723
2000-01-17 15:00:00,433.61432,21.381508
2000-01-17 16:00:00,433.61432,21.682983
2000-01-17 17:00:00,433.61432,21.879969
2000-01-17 18:00:00,433.61432,22.010345
2000-01-17 19:00:00,433.61432,22.1391
2000-01-17 20:00:00,433.61432,22.248085
2000-01-17 21:00:00,433.61432,22.356514
2000-01-17 22:00:00,433.61432,22.422817
2000-01-17 23:00:00,433.61432,22.437449
2000-01-18 00:00:00,24.906359,22.445976
2000-01-18 01:00:00,24.906359,0.003690686
2000-01-18 02:00:00,24.906359,0.00915169
2000-01-18 03:00:00,24.906359,0.012257032
2000-01-18 04:00:00,24.906359,0.015044685
2000-01-18 05:00:00,24.906359,0.018517002
2000-01-18 06:00:00,24.906359,0.022884473
2000-01-18 07:00:00,24.906359,0.02523014
2000-01-18 08:00:00,24.906359,0.027325835
2000-01-18 09:00:00,24.906359,0.028884724
2000-01-18 10:00:00,24.906359,0.031948272
2000-01-18 11:00:00,24.906359,0.037351236
2000-01-18 12:00:00,24.906359,0.040656168
2000-01-18 13:00:00,24.906359,0.049016785
2000-01-18 14:00:00,24.906359,0.09809223
2000-01-18 15:00:00,24.906359,0.16548482
2000-01-18 16:00:00,24.906359,0.200905
2000-01-18 17:00:00,24.906359,0.22588736
2000-01-18 18:00:00,24.906359,0.23949717
2000-01-18 19:00:00,24.906359,0.24122347
2000-01-18 20:00:00,24.906359,0.24168643
2000-01-18 21:00:00,24.906359,0.24187729
2000-01-18 22:00:00,24.906359,0.24188468
2000-01-18 23:00:00,24.906359,0.24188468
2000-01-19 00:00:00,0.31317464,0.24188468
2000-01-19 01:00:00,0.31317464,0.0
2000-01-19 02:00:00,0.31317464,0.0
