time,reanalysis,xgboost,cnn,naive,lstm
2017-09-16,177.1875819907366,141.6898193359375,123.41024017333984,170.51433319685236,150.31668090820312
2017-09-17,214.62919553211896,180.02508544921875,176.30438232421875,214.36248835531512,194.8737030029297
2017-09-18,256.3739016131862,244.09205627441406,204.93411254882812,232.1241948823266,229.42665100097656
2017-09-19,228.62254695070627,221.6888427734375,208.02931213378906,232.2809191480559,250.07601928710938
2017-09-20,244.58278179283158,224.5145263671875,199.77743530273438,226.90859041745023,234.8417205810547
2017-09-21,122.08902641779008,148.0944366455078,151.32913208007812,193.74917243661764,143.71807861328125
2017-09-22,149.45341209954645,147.2630615234375,181.24337768554688,208.8919519701634,178.7226104736328
2017-09-23,245.151802545008,203.33384704589844,205.3192901611328,221.75115013229913,239.91458129882812
2017-09-24,262.23545577407305,244.6492156982422,207.02120971679688,221.6551033170366,256.315185546875
2017-09-25,185.5510345780473,170.5443572998047,206.04241943359375,205.1710258529987,195.67697143554688
2017-09-26,155.26592555227032,174.10862731933594,206.4095916748047,232.7988124712523,197.09613037109375
2017-09-27,77.54498177159745,108.6229248046875,99.6146011352539,148.93253360162487,107.45173645019531
2017-09-28,169.219491713089,195.02880859375,152.09030151367188,211.07973032840198,186.43739318847656
2017-09-29,153.1773031661822,155.57302856445312,169.63473510742188,186.4533926198368,168.83468627929688
2017-09-30,142.79779328509883,148.0061492919922,153.6111297607422,147.79393742448553,168.67449951171875
2017-10-01,102.67164884938217,116.08222961425781,76.67662048339844,98.0161569436446,103.62217712402344
2017-10-02,223.13729233113864,183.3081512451172,177.5753631591797,155.6522759332516,184.9168701171875
2017-10-03,251.6261287490926,257.14495849609375,268.67791748046875,239.51855987022697,282.022216796875
2017-10-04,282.09860230114685,267.9211730957031,268.565673828125,270.3472239054559,285.1902770996094
2017-10-05,215.24185637812266,230.20001220703125,252.66067504882812,233.12390072240538,253.1982879638672
2017-10-06,287.66464099575177,257.322265625,248.09100341796875,265.49754360667663,258.0315246582031
2017-10-07,295.3900331014618,283.8237609863281,221.58892822265625,240.8774115094953,250.2117462158203
2017-10-08,201.02959886869874,162.57736206054688,155.63253784179688,216.3079155310757,164.94436645507812
2017-10-09,206.2515110767813,160.85130310058594,144.90911865234375,194.42046478341632,152.7846221923828
2017-10-10,186.92909316643815,198.9173126220703,180.87005615234375,210.79182279856155,182.1136932373047
